word,DF,IDF,Mean_TF,Mean_TF-IDF
dakota,9,6.594946589293779,0.010344827586206896,0.002576668101325765
hope,8,6.764871590736091,0.010344827586206896,0.0025607715672155812
westworld,8,6.764871590736091,0.009195402298850575,0.0025540718587606765
win,10,6.442943495848729,0.011494252873563218,0.0025531744873279836
vaccines,8,6.764871590736091,0.009195402298850575,0.002544902527994056
zac,7,6.957516668678487,0.009195402298850575,0.0025448210048981336
efron,7,6.957516668678487,0.009195402298850575,0.0025448210048981336
everyone,7,6.957516668678487,0.008045977011494253,0.002537483401056579
live,9,6.594946589293779,0.010344827586206896,0.002535506216251756
ashley,7,6.957516668678487,0.008045977011494253,0.00252864976094237
medicare,10,6.442943495848729,0.011494252873563218,0.002518466011953626
robots,7,6.957516668678487,0.009195402298850575,0.002517475098206556
conservatives,8,6.764871590736091,0.009195402298850575,0.0025075104971541452
pelosi,8,6.764871590736091,0.009195402298850575,0.0025071858878617714
oh,9,6.594946589293779,0.010344827586206896,0.00250422928010873
friday,8,6.764871590736091,0.009195402298850575,0.0024913423535499455
help,9,6.594946589293779,0.010344827586206896,0.0024871041476621147
palestine,8,6.764871590736091,0.010344827586206896,0.002486559423366074
read,7,6.957516668678487,0.008045977011494253,0.0024864100603303827
days,8,6.764871590736091,0.009195402298850575,0.0024377727397588245
shes,8,6.764871590736091,0.011494252873563218,0.0024338443685910133
full,8,6.764871590736091,0.009195402298850575,0.0024206254656507207
d,7,6.957516668678487,0.009195402298850575,0.002414258911390189
model,9,6.594946589293779,0.010344827586206896,0.002397051349220561
guy,8,6.764871590736091,0.009195402298850575,0.0023953611659078876
sure,8,6.764871590736091,0.009195402298850575,0.0023924175190949705
bad,8,6.764871590736091,0.009195402298850575,0.002390503367923848
keep,7,6.957516668678487,0.008045977011494253,0.0023845394810698382
these,9,6.594946589293779,0.010344827586206896,0.002382490148355132
syria,5,7.442943495848729,0.008045977011494253,0.002377579236938416
thing,9,6.594946589293779,0.010344827586206896,0.002374719161728266
donald,8,6.764871590736091,0.009195402298850575,0.002372857510875205
those,8,6.764871590736091,0.009195402298850575,0.0023503703133244108
said,8,6.764871590736091,0.009195402298850575,0.0023429605272976685
brexit,8,6.764871590736091,0.009195402298850575,0.0023407377950001767
yeah,8,6.764871590736091,0.009195402298850575,0.00232854876418464
maduro,8,6.764871590736091,0.009195402298850575,0.0023197594752450237
while,9,6.594946589293779,0.010344827586206896,0.002317914806430038
liberals,10,6.442943495848729,0.011494252873563218,0.002315456812729568
well,9,6.594946589293779,0.010344827586206896,0.002311366059813336
years,7,6.957516668678487,0.008045977011494253,0.0023080007710909807
better,7,6.957516668678487,0.008045977011494253,0.002304318999295069
made,8,6.764871590736091,0.009195402298850575,0.0022999685308630283
theyre,9,6.594946589293779,0.010344827586206896,0.002295683106703633
persona,6,7.1799090900149345,0.006896551724137931,0.002295411824378575
had,7,6.957516668678487,0.008045977011494253,0.0022774030568339754
vote,7,6.957516668678487,0.009195402298850575,0.0022772319949712883
leftists,9,6.594946589293779,0.010344827586206896,0.002257811764872508
ben,7,6.957516668678487,0.008045977011494253,0.0022381914727301563
duncan,8,6.764871590736091,0.009195402298850575,0.0022351056974652976
tim,8,6.764871590736091,0.009195402298850575,0.0022351056974652976
comey,7,6.957516668678487,0.009195402298850575,0.002222936882179037
lot,8,6.764871590736091,0.009195402298850575,0.0022215441607581795
romo,7,6.957516668678487,0.008045977011494253,0.0022152867137366626
stop,8,6.764871590736091,0.009195402298850575,0.0022145905487031183
fcblive,6,7.1799090900149345,0.006896551724137931,0.002214545067221336
thats,8,6.764871590736091,0.009195402298850575,0.0022139664583626633
support,8,6.764871590736091,0.009195402298850575,0.0022101395596863705
media,7,6.957516668678487,0.009195402298850575,0.0022057228774353824
election,8,6.764871590736091,0.009195402298850575,0.002186590544380054
stillwithher,7,6.957516668678487,0.008045977011494253,0.0021818217830348904
against,7,6.957516668678487,0.009195402298850575,0.002180543261972249
anyone,8,6.764871590736091,0.009195402298850575,0.0021765456244436654
id,7,6.957516668678487,0.008045977011494253,0.0021714707599989874
blaine,6,7.1799090900149345,0.006896551724137931,0.002162788517024534
jerusalem,7,6.957516668678487,0.008045977011494253,0.0021618773171538496
feel,7,6.957516668678487,0.008045977011494253,0.0021575281235908434
exactly,6,7.1799090900149345,0.006896551724137931,0.0021462091537368328
liked,7,6.957516668678487,0.008045977011494253,0.0021421636974508413
abortion,6,7.1799090900149345,0.008045977011494253,0.002131750649386624
hillary,7,6.957516668678487,0.009195402298850575,0.002124308945604722
money,8,6.764871590736091,0.009195402298850575,0.0021192811512419658
third,7,6.957516668678487,0.008045977011494253,0.0021016842505748546
college,7,6.957516668678487,0.008045977011494253,0.0020963231802308634
dems,7,6.957516668678487,0.008045977011494253,0.0020812755764090174
suppression,7,6.957516668678487,0.008045977011494253,0.0020738192080443237
graham,5,7.442943495848729,0.005747126436781609,0.0020499540651802706
last,7,6.957516668678487,0.008045977011494253,0.0020464038793700802
aleppo,7,6.957516668678487,0.008045977011494253,0.002043619857956846
didnt,7,6.957516668678487,0.008045977011494253,0.0020330760178905926
valentines,5,7.442943495848729,0.005747126436781609,0.002015891168660384
much,8,6.764871590736091,0.009195402298850575,0.0020055982919229194
electoral,7,6.957516668678487,0.008045977011494253,0.002002829857130928
yet,6,7.1799090900149345,0.006896551724137931,0.0020021737301172573
